Tax ID,Active Per Last Reported Status,Last Reported Active Date,Officer First Name,Officer Last Name,Officer Race,Officer Gender,Current Rank Abbreviation,Current Rank,Current Command,Shield No,Total Complaints,Total Substantiated Complaints
842025,No,04/19/2000 05:41:39 PM,James,Horan,White,Male,SGT,Sergeant,BX CT,01686,0,0
842167,No,04/19/2000 05:51:39 PM,Edward,Ryan,White,Male,DI,Deputy Inspector,PBBS,00000,0,0
843429,No,04/19/2000 05:51:39 PM,Joseph,Toal,White,Male,SGT,Sergeant,CI&RDIV,02027,0,0
844547,No,02/08/2001 06:12:23 PM,Michael,Fox,White,Male,DC,Chiefs and other ranks,PBMS,00000,0,0
844658,No,02/08/2001 06:12:23 PM,John,Quinn,White,Male,LSA,Lieutenant,028 PCT,00000,0,0
844789,No,02/08/2001 06:12:23 PM,Thomas,Callahan,White,Male,SGT,Sergeant,QAD 1DC,00164,0,0
845109,No,01/16/2001 05:49:10 PM,Albert,Regenhard,White,Male,SGT,Sergeant,005 DET,00919,0,0
845388,No,02/08/2001 06:12:23 PM,John,Lafferty,White,Male,DT1,Detective,DBMNHTF,02188,0,0
845406,No,02/08/2001 06:12:23 PM,Michael,Montemarano,White,Male,LT,Lieutenant,INSUPDV,00000,0,0
845430,No,02/08/2001 06:12:23 PM,John,Timony,White,Male,DI,Deputy Inspector,PBBX,00000,0,0
845484,No,02/08/2001 06:12:23 PM,Philip,Buccigrossi,White,Male,POM,Police Officer,066 PCT,00692,0,0
845732,No,04/19/2000 05:41:39 PM,Francis,Pooley,White,Male,LT,Lieutenant,O C I D,00000,0,0
845754,No,02/08/2001 06:12:23 PM,Kenneth,Roode,White,Male,LT,Lieutenant,HWY 03,00000,0,0
845815,No,02/08/2001 06:12:23 PM,Joseph,Vanschaick,White,Male,SGT,Sergeant,TR/STED,00054,0,0
847933,No,02/08/2001 06:12:23 PM,John,Casey,White,Male,SDS,Sergeant,SP INV,00970,0,0
847961,No,02/08/2001 06:12:23 PM,Timothy,Dowd,White,Male,SDS,Sergeant,113 DET,02114,0,0
