id,command,last_name,first_name,rank,shield_no,active
842025,BX CT,HORAN,JAMES,Sergeant,01686,false
842167,PBBS,RYAN,EDWARD,Deputy Inspector,00000,false
843429,CI&RDIV,TOAL,JOSEPH,Sergeant,02027,false
844547,PBMS,FOX,MICHAEL,Chiefs and other ranks,00000,false
844658,028 PCT,QUINN,JOHN,Lieutenant,00000,false
844789,QAD 1DC,CALLAHAN,THOMAS,Sergeant,00164,false
845109,005 DET,REGENHARD,ALBERT,Sergeant,00919,false
845388,DBMNHTF,LAFFERTY,JOHN,Detective,02188,false
845406,INSUPDV,MONTEMARANO,MICHAEL,Lieutenant,00000,false
845430,PBBX,TIMONY,JOHN,Deputy Inspector,00000,false
845484,066 PCT,BUCCIGROSSI,PHILIP,Police Officer,00692,false
845732,O C I D,POOLEY,FRANCIS,Lieutenant,00000,false
845754,HWY 03,ROODE,KENNETH,Lieutenant,00000,false
845815,TR/STED,VANSCHAICK,JOSEPH,Sergeant,00054,false
847933,SP INV,CASEY,JOHN,Sergeant,00970,false
847961,113 DET,DOWD,TIMOTHY,Sergeant,02114,false
848002,PBMS,HOEHL,ALLAN,Chiefs and other ranks,00000,false
848008,068 PCT,KILLEN,PETER,Detective,03704,false
848036,DA BX,MCHUGH,EDWARD,Detective,02101,false
848091,006 PCT,REGAN,JOHN,Police Officer,12895,false
848125,EQP SEC,TURETZKY,MARTIN,Sergeant,02759,false
848180,OFF/L R,BEIRNE,JOHN,Chiefs and other ranks,00000,false
848203,MC/SQD,DUKE,GEORGE,Captain,00000,false
848349,048 PCT,GALLAGHER,LAWRENCE,Lieutenant,00000,false
848409,CD OP/D,MURPHY,JOSEPH,Deputy Inspector,00000,false
848416,WARRSEC,PAGNELLO,JOSEPH,Detective,04490,false
848419,CD OFF,PETERMAN,JESSE,Inspector,00000,false
848427,PBBS,RAGUSO,JOSEPH,Chiefs and other ranks,00000,false
848528,QAD 1DC,CONNELLY,JOHN,Sergeant,02978,false
848571,O C C B,DRUSS,PHILIP,Lieutenant,00000,false
848658,100 DET,KEEVAN,EDWARD,Detective,01980,false
848730,MNROBSQ,OCONNOR,WILLIAM,Lieutenant,00000,false
848737,DB MSHM,PARR,LEONARD,Detective,02398,false
848758,PBMS TF,ROBERT,JAMES,Lieutenant,00000,false
848777,I.A.B.,SCHAAFF,HENRY,Deputy Inspector,00000,false
848900,S O D,BRESLIN,JOHN,Captain,00000,false
848953,POL ACD,DIAZ,ANTONIO,Lieutenant,00000,false
849056,017 PCT,KIERNAN,RICHARD,Lieutenant,00000,false
849088,DBMNHTF,MCCABE,THOMAS,Detective,01456,false
849107,PER BUR,MARKMAN,MICHAEL,Inactive Ranks,00000,false
849192,047 DET,SCHIFFMAN,STANLEY,Detective,03722,false
849223,DA BKN,TANSEY,JOHN,Sergeant,02825,false
849274,DET BUR,ALLEE,WILLIAM,Inactive Ranks,00000,false
849276,112 PCT,ANDERSON,EDWARD,Lieutenant,00000,false
849301,MOUNTED,BRADY,PATRICK,Sergeant,00452,false
849378,052 DET,DOWLING,BRENDAN,Lieutenant,00000,false
849426,ESS 03,GIRVEN,CHARLES,Sergeant,01963,false
849477,DA BX,KEANE,EDMUND,Sergeant,02364,false
849559,HWY DST,MOORE,JOHN,Detective,02054,false
849582,101 DET,ODONNELL,ROBERT,Detective,03950,false
849650,013 DET,SCHRY,JAMES,Detective,00620,false
849686,075 PCT,TURSELLINO,JOSEPH,Sergeant,01162,false
849702,MED DIV,WERBKAY,VICTOR,Deputy Inspector,00000,false
849732,I.A.B.,HALL,LUDWICK,Lieutenant,00000,false
849765,PBQ/S,BAUSER,HAROLD,Police Officer,06971,false
849812,O M A P,CALVO,RAMON,Sergeant,00722,false
849833,DB QNS,CIVIDANES,ROBERT,Deputy Inspector,00000,false
849897,PBQ/S,DONNELLY,STEPHEN,Captain,00000,false
850046,079 PCT,KEMPSKI,JOHN,Police Officer,16083,false
850049,HWY DST,KENNEDY,VINCENT,Inspector,00000,false
850082,045 DET,LEUCK,KENNETH,Detective,00623,false
850138,PBSI,MARRA,ANTHONY,Chiefs and other ranks,00000,false
850165,TB QNS,MINES,GERALD,Captain,00000,false
850166,I.A.B.,MOAKLEY,JOHN,Chiefs and other ranks,00000,false
850234,BX/N-ND,PETRINO,PASQUALE,Captain,00000,false
850291,PBSI DO,SANTORO,MATTHEW,Detective,00571,false
850423,O C I D,BECKER,KENNETH,Lieutenant,00000,false
850425,TRF CD,BEEHN,CHARLES,Deputy Inspector,00000,false
850478,I.A.B.,CASTAGNA,ALFRED,Lieutenant,00000,false
850605,I.A.B.,GILMARTIN,KEVIN,Inspector,00000,false
850645,I.A.B.,HUGHES,PATRICK,Sergeant,01291,false
850651,PBSI,JACOBS,RONALD,Lieutenant,00000,false
850707,049 PCT,LOONEY,WILLIAM,Sergeant,02204,false
850866,P S B,SCANLON,JOHN,Inactive Ranks,00000,false
850923,BXROBSQ,VITALIANO,ANTHONY,Lieutenant,00000,false
850938,PBQ/S,WHITE,JOHN,Chiefs and other ranks,00000,false
851053,113 PCT,BYRNES,GILBERT,Police Officer,24390,false
851114,H MAN,DIMICELI,ROSS,Sergeant,01648,false
851182,E S U,HAYES,DAVID,Detective,00324,false
851207,104 PCT,JACINA,JOSEPH,Lieutenant,00000,false
851297,109 PCT,MILLER,FREDERICK,Police Officer,24638,false
851352,DB BXHM,PARCHEN,WILLIAM,Detective,03445,false
851532,MED DIV,FOX,LEONARD,Inactive Ranks,00000,false
851544,HWY 03,ALLEN,ROBERT,Sergeant,01693,false
851585,OFSCSRG,BREWER,HOWARD,Lieutenant,00000,false
851587,DB QNS,BRITTON,FREDERICK,Inspector,00000,false
851693,CI&RDIV,GIBLIN,WILLIAM,Lieutenant,00000,false
851756,PBMN,KISSIK,ANTHONY,Inspector,00000,false
851778,HWY 03,LOHEIDE,WALTER,Police Officer,05584,false
851828,043 DET,MONKS,EDWARD,Sergeant,00883,false
851831,P S B,MORANGE,WILLIAM,Inactive Ranks,00000,false
851865,073 PCT,PALUMBO,JOSEPH,Police Officer,07387,false
851898,066 DET,RODENBURG,ROBERT,Detective,01950,false
851990,061 PCT,MACGREGOR,GEORGE,Detective,01573,false
852008,SATDOPS,BOYLE,PATRICK,Captain,00000,false
852041,111 DET,GARNAR,EDWARD,Sergeant,03312,false
852071,COMMDIV,LOTAKIS,GEORGE,Sergeant,02388,false
852078,108 DET,MCDOUGALL,GEORGE,Detective,03938,false
852091,SATHOPS,MORRISROE,JAMES,Deputy Inspector,00000,false
852224,DB BX,GARDNER,MICHAEL,Inspector,00000,false
852246,PBBS,LOVELOCK,JOSEPH,Deputy Inspector,00000,false
852251,HWY 03,MADERIK,JOHN,Police Officer,15365,false
852302,ND NMI,DUFFY,MICHAEL,Captain,00000,false
